date,India,France,Africa,US,China,UK,Red Cross,GOP,WHO,UN,left wing,right wing,communist,socialist,republican(US),democrat(US),labour(UK),conservative(UK),ICU,vaccination,maoist,christian,muslim,islamic,ministry of justice,ministry of health,senate,congress,woman,rebel,native,prime minister,chief,mayor,Xi Jinping,Donald Trump,Joe Biden,Emmanuel Macron,Narendra Modi,Vladimir Putin,global health,public health,one health,decolonization in health policy,decolonization
201403,0.155555556,0.046875,0.162162162,0.0375,0.045454545,0.333333333,0.230769231,0.142857143,0.089285714,0.452380952,0.166666667,0.111111111,0.446428571,0.176470588,0.032258065,0.032258065,0.043010753,0.025316456,0.037974684,0.020408163,0.215686275,0.692307692,0.181818182,0.222222222,0.674418605,0,0.042553191,0.379310345,0.2,0,0.095890411,0.111111111,0.5,0.2,0.06122449,0,0,0,0.082474227,0.175257732,0.183098592,0.150684932,0.045454545,0,0.192711983
201404,0.155555556,0.03125,0.27027027,0.0375,0.015151515,0.428571429,0.230769231,0.153846154,0.142857143,0.357142857,0.166666667,0.111111111,0.392857143,0.117647059,0.032258065,0.032258065,0.032258065,0.025316456,0.063291139,0.020408163,0.176470588,0.538461538,0.181818182,0.111111111,0.720930233,0,0.042553191,0.379310345,0.3,0,0.068493151,0.111111111,0.5,0.133333333,0.020408163,0.005025126,0,0,0.216494845,0.06185567,0.197183099,0.164383562,0.068181818,0,0.213034338
201405,0.377777778,0.078125,0.162162162,0.0375,0.136363636,0.285714286,0.230769231,0.153846154,0.142857143,0.404761905,0.166666667,0.222222222,0.446428571,0.176470588,0.032258065,0.032258065,0.129032258,0.088607595,0.050632911,0.020408163,0.098039216,0.5,0.272727273,0.222222222,0.627906977,0,0.031914894,0.310344828,0.32,0.142857143,0.082191781,0.222222222,0.333333333,0.266666667,0.020408163,0.005025126,0,0,0.515463918,0.051546392,0.070422535,0.150684932,0.068181818,0,0.220742817
201406,0.311111111,0.203125,0.054054054,0.0875,0,0.380952381,0.153846154,0.164835165,0.089285714,0.30952381,0,0.111111111,0.160714286,0.058823529,0.032258065,0.032258065,0.021505376,0.025316456,0.037974684,0.020408163,0.078431373,0.346153846,0.454545455,0.444444444,0.651162791,0,0.021276596,0.172413793,0.26,0,0.04109589,0.111111111,0.333333333,0.133333333,0.010204082,0.005025126,0,0,0.144329897,0.030927835,0.070422535,0.123287671,0.056818182,0,0.196916608
201407,0.377777778,0.328125,0.324324324,0.0625,0.045454545,0.333333333,0.153846154,0.131868132,0.071428571,0.214285714,0,0.111111111,0.035714286,0.058823529,0.010752688,0.010752688,0.021505376,0,0.025316456,0,0.078431373,0.461538462,0.727272727,0.555555556,0.837209302,0,0.010638298,0.103448276,0.26,0,0,0.111111111,0.333333333,0.133333333,0.030612245,0.005025126,0,0,0.072164948,0.06185567,0.084507042,0.123287671,0.079545455,0,0.286615277
201408,0.377777778,0,0.243243243,0.0375,0.015151515,0.285714286,0.153846154,0.120879121,0.089285714,0.19047619,0,0.111111111,0.071428571,0,0.021505376,0.021505376,0.010752688,0,0.025316456,0,0.078431373,0.576923077,0.363636364,0.444444444,0.581395349,0,0,0.137931034,0.26,0,0.04109589,0.111111111,0.5,0.133333333,0.020408163,0.005025126,0,0.085427136,0.103092784,0.051546392,0.070422535,0.164383562,0.113636364,0,0.276103714
201409,0.311111111,0.046875,0.432432432,0.05,0.03030303,0.333333333,0.153846154,0.142857143,0.107142857,0.571428571,0.166666667,0.111111111,0.232142857,0.176470588,0.021505376,0.021505376,0.107526882,0.088607595,0.088607595,0.020408163,0.117647059,0.461538462,0.363636364,0.444444444,0.744186047,0,0.031914894,0.310344828,0.16,0,0.164383562,0.111111111,0.333333333,0.2,0.071428571,0.005025126,0,0.025125628,0.216494845,0.041237113,0.183098592,0.205479452,0.068181818,0,0.268395235
201410,0.333333333,0.046875,0.351351351,0.0375,0.015151515,0.380952381,0.153846154,0.153846154,0.160714286,0.595238095,0.166666667,0.111111111,0.357142857,0.117647059,0.053763441,0.053763441,0.053763441,0.075949367,0.037974684,0.020408163,0.019607843,0.538461538,0.363636364,0.555555556,0.697674419,0,0.095744681,0.379310345,0.26,0,0.232876712,0.111111111,0.5,0.333333333,0.030612245,0,0.005025126,0.015075377,0.12371134,0.051546392,0.197183099,0.205479452,0.090909091,0,0.398738612
201411,0.333333333,0.015625,0.108108108,0.025,0.015151515,0.380952381,0.153846154,0.230769231,0.160714286,0.380952381,0.166666667,0.111111111,0.267857143,0.176470588,0.150537634,0.150537634,0.064516129,0.050632911,0.063291139,0.020408163,0.058823529,0.5,0.272727273,0.333333333,0.627906977,0,0.244680851,0.413793103,0.16,0.142857143,0.164383562,0.111111111,1,0.4,0.091836735,0,0,0.005025126,0.113402062,0.06185567,0.183098592,0.164383562,0.022727273,0,0.334267694
201412,0.288888889,0.03125,0.27027027,0.025,0.015151515,0.238095238,0.076923077,0.197802198,0.178571429,0.214285714,0.166666667,0.111111111,0.214285714,0.117647059,0.032258065,0.032258065,0.021505376,0.012658228,0.012658228,0,0.274509804,0.5,0.363636364,0.333333333,0.418604651,0,0.031914894,0.172413793,0.2,0.285714286,0.02739726,0,0.5,0.2,0.040816327,0,0,0.015075377,0.072164948,0.082474227,0.056338028,0.068493151,0.045454545,0,0.290819902
